1,"장례, 화장, 봉안",포포즈 반려동물 장례식장 세종점,1588-2888,세종시 부강로 시목부강로 620,http://fourpaws.co.kr
2,"장례, 화장, 봉안",펫포유,1533-4426,세종특별자치시 장군면 금암리 87-5,http://www.petforyou.kr
3,"장례, 화장, 봉안",센트럴파크(주),051-728-5411,부산광역시 기장군 일광면 차양길 175,http://www.startice.co.kr
4,"장례, 화장, 봉안",파트라슈,051-723-2201,부산 기장군 장안읍 좌동리 49-1,http://www.mypatrasche.co.kr
5,"장례, 화장, 봉안",아이별,051-727-4499,부산광역시 기장군 장안읍 기룡길 11-33,http://www.aistar.co.kr
6,장례,대구러브펫,053-593-4900,대구 달서구 장동 50,http://dglovepet.kr
7,"장례, 봉안",㈜더 포에버,032-713-5002,인천광역시 서구 설원로 79(대곡동),-
8,봉안,어게인,032-566-1936,인천광역시 서구 원당대로246번길 15 (오류동),-
9,장례,㈜하늘펫,062-946-2626,광주 광산구 지죽동 409-14,-
10,"장례, 화장, 봉안",이별공간,***********,울산광역시 울주군 삼동면 조일리 906-4번지,http://ebyulplace.modoo.at
11,화장,(주)펫콤,1833-5158,"경기 안산시 단원구 광덕서로 82, 한남법조빌딩 513호(고잔동)",https://petcom.kr
12,"장례, 화장, 봉안",㈜펫바라기,031-976-3179,경기 고양시 일산동구 설문동 515-1,http://www.petbaragi.com
13,"장례, 화장, 봉안",몽몽이엠파크,1811-1336,경기도 남양주시 화도읍 모꼬지로17번길 136,http://mmempark.com
14,"장례, 화장, 봉안",씨엘로펫,1577-7332,경기도 용인시 처인구 백암면 죽양대로 1206,http://www.cielopet.co.kr
15,"장례, 화장, 봉안",리멤버,080-200-5004,경기도 용인시 처인구 남사면 원앙로 535,http://리멤버.net
16,"장례, 화장, 봉안",(주)페어웰,031-941-3350,경기도 파주시 광탄면 수레길 302,http://farewell.kr
17,"장례, 화장",㈜아리아펫,031-635-2266,경기 이천시 마장면 장암리 525-1,http://www.aria.pet
18,"장례, 화장, 봉안",펫포레스트 김포점,1577-0996,경기도 김포시 통진읍 고정로 308,http://petforest.co.kr
19,"장례, 화장, 봉안",마스꼬따 휴㈜,031-989-2444,경기도 김포시 통진읍 애기봉로 681번길 73-20,http://www.mascotahue.com
20,"장례, 화장, 봉안",포포즈 반려동물 장례식장 경기 김포점,1588-2888,경기 김포시 월곶면 애기봉로 262,http://fourpaws.co.kr
21,"장례, 화장, 봉안",엔젤스톤,031-981-0271,경기 김포시 하성면 양택리 251-6,http://www.angelstone.co.kr
22,"장례, 화장, 봉안",아이드림펫,031-996-7444,경기 김포시 하성면 하성로 647,http://www.idreampet.co.kr
23,"장례, 화장, 봉안",ROYHILLS,1855-2004,경기도 양평군 양동면 양동금곡 4길 10,https://www.royhills.co.kr
24,"장례, 화장, 봉안",포포즈 반려동물 장례식장 경기 화성점,1588-2888,경기도 화성시 팔탄면 독곡길 24-42,http://fourpaws.co.kr
25,"장례, 화장, 봉안",(주)포이리스,1899-6415,경기도 화성시 서신면 안벼슬길 102번길 165,http://www.uripet.co.kr
26,"장례, 화장, 봉안",스토리펫,031-353-5579,경기도 화성시 정남면 서봉로851번길 83(문학리 663),http://www.스토리펫.com
27,"장례, 화장, 봉안",펫오케스트라,1588-1289,경기도 화성시 비봉면 양노남길 108,http://www.petorchestra.co.kr/
28,"장례, 화장, 봉안",㈜해피엔딩,1899-5127,경기 광주시 초월읍 지월리 134,http://www.wehappyending.com
29,"장례, 화장, 봉안",㈜펫포레스트,1577-0996,경기 광주시 오포읍 문형리 749-5,http://petforest.co.kr
